dataset,series,method,replicate,index,score,is_anomaly,is_ignored,threshold
mgab,1,esn_residual,0,24368,0.017990696276264373,False,False,0.02713656935194564
mgab,1,esn_residual,0,24380,0.01838924386812124,False,False,0.02713656935194564
mgab,1,esn_residual,0,24392,0.018968497261901973,False,False,0.02713656935194564
mgab,1,esn_residual,0,24404,0.018426388504693136,False,False,0.02713656935194564
mgab,1,esn_residual,0,24416,0.01589879774594749,False,False,0.02713656935194564
mgab,1,esn_residual,0,24428,0.01790334252032011,False,False,0.02713656935194564
mgab,1,esn_residual,0,24440,0.015401014562499427,False,False,0.02713656935194564
mgab,1,esn_residual,0,24452,0.01981133835843707,False,False,0.02713656935194564
mgab,1,esn_residual,0,24464,0.014309268005774811,False,False,0.02713656935194564
mgab,1,esn_residual,0,24476,0.015880893721224254,False,False,0.02713656935194564
mgab,1,esn_residual,0,24488,0.014971586050045005,False,False,0.02713656935194564
mgab,1,esn_residual,0,24500,0.018294917431674662,False,False,0.02713656935194564
mgab,1,esn_residual,0,24512,0.019807378664822295,False,False,0.02713656935194564
mgab,1,esn_residual,0,24524,0.010068603539082233,False,False,0.02713656935194564
mgab,1,esn_residual,0,24536,0.017313795416441735,False,False,0.02713656935194564
mgab,1,esn_residual,0,24548,0.017996255660683858,False,False,0.02713656935194564
mgab,1,esn_residual,0,24560,0.015718711657427775,False,False,0.02713656935194564
mgab,1,esn_residual,0,24572,0.021506871118418758,False,False,0.02713656935194564
mgab,1,esn_residual,0,24584,0.01698536455788968,False,False,0.02713656935194564
mgab,1,esn_residual,0,24596,0.019835135451657493,False,False,0.02713656935194564
mgab,1,esn_residual,0,24608,0.022686995523130804,False,False,0.02713656935194564
mgab,1,esn_residual,0,24620,0.018503015404064627,False,False,0.02713656935194564
mgab,1,esn_residual,0,24632,0.017181229805416365,False,False,0.02713656935194564
mgab,1,esn_residual,0,24644,0.01358585725569128,False,False,0.02713656935194564
mgab,1,esn_residual,0,24656,0.020890735551418516,False,False,0.02713656935194564
mgab,1,esn_residual,0,24668,0.019004187501593606,False,False,0.02713656935194564
mgab,1,esn_residual,0,24680,0.023286872552084503,False,False,0.02713656935194564
mgab,1,esn_residual,0,24692,0.02006128767716575,False,False,0.02713656935194564
mgab,1,esn_residual,0,24704,0.015317257592428746,False,False,0.02713656935194564
mgab,1,esn_residual,0,24716,0.02115673601985435,False,False,0.02713656935194564
mgab,1,esn_residual,0,24728,0.012108908662675333,False,False,0.02713656935194564
mgab,1,esn_residual,0,24740,0.024747092911077573,False,False,0.02713656935194564
mgab,1,esn_residual,0,24752,0.014777388644354517,False,False,0.02713656935194564
mgab,1,esn_residual,0,24764,0.02140984625054898,False,False,0.02713656935194564
mgab,1,esn_residual,0,24776,0.010122497547421005,False,False,0.02713656935194564
mgab,1,esn_residual,0,24788,0.025822160866198374,False,False,0.02713656935194564
mgab,1,esn_residual,0,24800,0.022846863421150942,False,False,0.02713656935194564
mgab,1,esn_residual,0,24812,0.021237976102717937,False,False,0.02713656935194564
mgab,1,esn_residual,0,24824,0.014857804878708691,False,False,0.02713656935194564
mgab,1,esn_residual,0,24836,0.022979576054417805,False,False,0.02713656935194564
mgab,1,esn_residual,0,24848,0.024216268114479078,False,False,0.02713656935194564
mgab,1,esn_residual,0,24860,0.015627519385240873,False,False,0.02713656935194564
mgab,1,esn_residual,0,24872,0.015535044870297554,False,False,0.02713656935194564
mgab,1,esn_residual,0,24884,0.012109985915110144,False,False,0.02713656935194564
mgab,1,esn_residual,0,24896,0.015164462446321636,False,False,0.02713656935194564
mgab,1,esn_residual,0,24908,0.016976370117546935,False,False,0.02713656935194564
mgab,1,esn_residual,0,24920,0.014908545696762587,False,False,0.02713656935194564
mgab,1,esn_residual,0,24932,0.014256529920302796,False,False,0.02713656935194564
mgab,1,esn_residual,0,24944,0.02404320297173257,False,False,0.02713656935194564
mgab,1,esn_residual,0,24956,0.015307325941520844,False,False,0.02713656935194564
mgab,1,esn_residual,0,24968,0.013230514996784848,False,False,0.02713656935194564
mgab,1,esn_residual,0,24980,0.013404415433406314,False,False,0.02713656935194564
mgab,1,esn_residual,0,24992,0.011116174090794573,False,False,0.02713656935194564
mgab,1,esn_residual,0,25004,0.01872700242480363,False,False,0.02713656935194564
mgab,1,esn_residual,0,25016,0.017523523831691534,False,False,0.02713656935194564
mgab,1,esn_residual,0,25028,0.01291762501248428,False,False,0.02713656935194564
mgab,1,esn_residual,0,25040,0.009483073682211796,False,False,0.02713656935194564
mgab,1,esn_residual,0,25052,0.01862864053962454,False,False,0.02713656935194564
mgab,1,esn_residual,0,25064,0.021021931321961063,False,False,0.02713656935194564
mgab,1,esn_residual,0,25076,0.023662907528596122,False,False,0.02713656935194564
mgab,1,esn_residual,0,25088,0.017744636782261125,False,False,0.02713656935194564
